"hospedante"
"Abelia grandiflora (glossy abelia)"
"Abelia grandiflora (Glossy abelia)"
"Abeliophyllum distichum"
"Abelmoschus"
"Abelmoschus esculentus (okra)"
"Abelmoschus manihot (bele)"
"Abelmoschus moschatus (musk mallow)"
"Abies (firs)"
"Abies alba (silver fir)"
"Abies amabilis (Pacific silver fir)"
"Abies balsamea (balsam fir)"
"Abies bifolia"
"Abies bifolia x Abies lasiocarpa"
"Abies borisii-regis (king Boris fir)"
"Abies cephalonica (Greek fir)"
"Abies cilicica (cilician fir)"
"Abies concolor (Rocky Mountain white fir)"
"Abies firma (momi fir)"
"Abies fraseri (Fraser fir)"
"Abies grandis (grand fir)"
"Abies hickelii"
"Abies holophylla (Manchurian fir)"
"Abies homolepis (Nikko fir)"
"Abies koreana (korean fir)"
"Abies lasiocarpa (rocky mountain fir)"
"Abies nephrolepis (Khingan fir)"
"Abies nordmanniana (Nordmann fir)"
"Abies nordmanniana subsp. equi-trojani"
"Abies procera (noble fir)"
"Abies sachalinensis (Sakhalin fir)"
"Abies sibirica (Siberian fir)"
"Abies spp."
"Abutilon (Indian mallow)"
"Abutilon indicum (country mallow)"
"Abutilon theophrasti (velvet leaf)"
"Acacia"
"Acacia (wattles)"
"Acacia argyrophylla"
"Acacia auriculiformis (northern black wattle)"
"Acacia baileyana (cootamundra wattle)"
"Acacia brownii"
"Acacia caven (Roman cassie)"
"Acacia chundra"
"Acacia confusa"
"Acacia crassicarpa (northern wattle)"
"Acacia cyanophylla [A. saligna]"
"Acacia cyclops (coastal wattle)"
"Acacia dealbata (acacia bernier)"
"Acacia decurrens (green wattle)"
"Acacia extensa"
"Acacia farnesiana"
"Acacia farnesiana (huisache)"
"Acacia karroo (sweet thorn)"
"Acacia koa (koa)"
"Acacia longifolia (golden wattle)"
"Acacia mangium (brown salwood)"
"Acacia mearnsii (black wattle)"
"Acacia melanoxylon (Australian blackwood)"
"Acacia myrtifolia"
"Acacia nilotica (gum arabic tree)"
"Acacia pulchella"
"Acacia rostellifera"
"Acacia saligna (coojong)"
"Acaena pinnatifida"
"Acalypha (Copperleaf)"
"Acalypha australis"
"Acalypha hispida (Copperleaf)"
"Acalypha indica (Indian copperleaf)"
"Acalypha wilkesiana"
"Acanthospermum hispidum (bristly starbur)"
"Acca"
"Acca sellowiana"
"Acca sellowiana (= Feijoa sellowiana)"
"Acer (maples)"
"Acer buergerianum (trident maple)"
"Acer campestre (field maple)"
"Acer japonicum (full-moon maple)"
"Acer macrophyllum (broadleaf maple)"
"Acer negundo (box elder)"
"Acer palmatum (Japanese maple)"
"Acer pensylvanicum (striped maple)"
"Acer platanoides (Norway maple)"
"Acer pseudoplatanus (sycamore)"
"Acer rubrum (red maple)"
"Acer saccharinum (silver maple)"
"Acer saccharum (sugar maple)"
"Acer sieboldianum"
"Acer spicatum (Mountain maple)"
"Acer truncatum (truncate-leaved maple)"
"Acer velutinum"
"Acetosa sagittata (Rambling Dock)"
"Achillea clavennae"
"Achillea fragrantissima"
"Achillea millefolium"
"Achillea millefolium (yarrow)"
"Achillea pannonica"
"Achillea sp."
"Achyranthes aspera (devil's horsewhip)"
"Acmella paniculata"
"Acmena smithii"
"Aconitum carmichaelii"
"Acrocarpus fraxinifolius (shingle tree)"
"Acrostichum aureum"
"Actinidia"
"Actinidia arguta (tara vine)"
"Actinidia chinensis (Chinese gooseberry)"
"Actinidia deliciosa (kiwifruit)"
"Actinidia deliciosa [A. chinensis var. deliciosa]"
"Actinidia deliciosa [Actinidia chinensis var. deliciosa]"
"Actinidia polygama"
"Actinidia sp."
"Adenanthera pavonina (red-bead tree)"
"Adenanthos barbigerus"
"Adesmia"
"Adesmia confusa"
"Adesmia trijuga"
"Aegiceras corniculatum"
"Aegle marmelos (golden apple)"
"Aegopodium podagraria (ground elder (UK))"
"Aeschynanthus"
"Aeschynomene indica (Indian jointvetch)"
"Aesculus (buckeye)"
"Aesculus chinensis"
"Aesculus flava (yellow buckeye)"
"Aesculus glabra (Texas buckeye)"
"Aesculus hippocastanum"
"Aesculus hippocastanum (horse chestnut)"
"Aesculus pavia"
"Aesculus pavia (red buckeye)"
"Aesculus turbinata (Japanese horse-chestnut)"
"Afzelia xylocarpa"
"Agastache foeniculum"
"Agathis"
"Agathis lanceolata"
"Agathis macrophylla (kauri)"
"Agathosma betulina"
"Agave"
"Agave americana (century plant)"
"Agave sisalana"
"Agave sisalana (sisal hemp)"
