"scientific_name"
"Orobanche ramosa"
"Oryza rufipogon"
"Pammene fasciana"
"Parkinsonia aculeata"
"Paspalum notatum"
"Paspalum vaginatum"
"Pennisetum pedicellatum"
"Phakopsora pachyrhizi"
"Phellinus noxius"
"Phleum pratense"
"Phoenix canariensis"
"Phoma tracheiphila"
"Phragmites australis"
"Phyllachora maydis"
"Phyllanthus urinaria"
"Physalis peruviana"
"Phytophthora stricta"
"Pimenta dioica"
"Pinus peuce"
"Pinus pinaster"
"Pinus radiata"
"Pithecellobium dulce"
"Pityogenes chalcographus"
"Pityokteines curvidens"
"Plantago coronopus"
"Plantago lanceolata"
"Plutella xylostella"
"Pogostemon cablin"
"Polygonum aviculare"
"Polygonum lapathifolium"
"Pongamia pinnata"
"Pontederia vaginalis"
"Populus alba"
"Populus nigra"
"Pouteria lucuma"
"Pratylenchus coffeae"
"Pratylenchus goodeyi"
"Prunus serotina"
"Pseudacysta perseae"
"Pseudocercospora fuligena"
"Psidium guajava"
"Pteridium aquilinum"
"Pterocarpus indicus"
"Pterophylla beltrani"
"Ptychosperma elegans"
"Pyrrhalta luteola"
"Radopholus similis"
"Raffaelea lauricola"
"Ralstonia syzygii subsp. celebesensis"
"Raphanus raphanistrum"
"Rauvolfia serpentina"
"Rhabdoscelus obscurus"
"Rhadinaphelenchus cocophilus"
"Rhamnus cathartica"
"Rhaponticum repens"
"Rhus typhina"
"Rhyacionia buoliana"
"Ricinus communis"
"Robinia pseudoacacia"
"Rubus fruticosus"
"Rudbeckia laciniata"
"Rumex obtusifolius"
"Saccharum spontaneum"
"Salix humboldtiana"
"Samanea saman"
"Sambucus canadensis"
"Sambucus nigra"
"Schinus terebinthifolius"
"Scirtothrips aurantii"
"Scirtothrips dorsalis"
"Scolytus intricatus"
"Scutellonema bradys"
"Sechium edule"
"Seiridium cardinale"
"Semiaphis heraclei"
"Senna alata"
"Senna siamea"
"Sepedon aenescens"
"Setaria verticillata"
"Sirococcus clavigignenti-juglandacearum"
"Solanum americanum"
"Solanum nigrum"
"Solanum quitoense"
"Solanum torvum"
"Solidago canadensis"
"Solidago gigantea"
"Sonchus oleraceus"
"Sonneratia apetala"
"Sorghum halepense"
"Sphaeropsis sapinea"
"Sphenoclea zeylanica"
"Spodoptera littoralis"
"Spodoptera litura"
"Sporisorium scitamineum"
"Sporobolus junceus"
"Stellaria media"
"Striga hermonthica"
"Sugarcane streak mosaic virus"
"Synedrella nodiflora"
"Syzygium cumini"
"Tabernaemontana divaricata"
"Tagetes minuta"
"Talipariti tiliaceum"
"Tamarix aphylla"
"Taraxacum officinale complex"
"Tecia solanivora"
"Tecoma stans"
"Terminalia catappa"
"Tetropium gracilicorne"
"Tetropium staudingeri"
"Thaumetopoea pityocampa"
"Thespesia populnea"
"Thlaspi arvense"
"Thrips imaginis"
"Thrips major"
"Thrips palmi"
"Thrips parvispinus"
"Thrips setosus"
"Tibraca limbativentris"
"Tilletia controversa"
"Tomato black ring virus"
"Tomato yellow ring orthotospovirus"
"Tradescantia fluminensis"
"Tremex fuscicornis"
"Triadica sebifera"
"Tridax procumbens"
"Trirachys holosericeus"
"Trirachys sartus"
"Tropaeolum majus"
"Trypodendron domesticum"
"Tylenchorhynchus crassicaudatus"
"Ulex europaeus"
"Ulmus glabra"
"Urocerus gigas"
"Urochloa mutica"
"Urochloa panicoides"
"Urtica urens"
"Verticillium dahliae"
"Vigna marina"
"Xanthium strumarium"
"Xanthomonas axonopodis pv. phaseoli"
"Xanthomonas citri pv. citri"
"Xanthomonas citri pv. punicae"
"Xanthomonas fragariae"
"Xanthosoma sagittifolium"
"Xiphinema diversicaudatum"
"Xiphinema index"
"Xyleborinus saxesenii"
"Xyleborus dispar"
"Xyleborus perforans"
"Xyleborus similis"
"Xylella fastidiosa"
"Xylosandrus ater"
"Xylosandrus compactus"
"Xylosandrus crassiusculus"
"Xylosandrus discolor"
"Xylosandrus germanus"
"Xylosandrus morigerus"
"Xylosandrus mutilatus"
"Xylotrechus altaicus"
"Xylotrechus pantherinus"
"Yucca aloifolia"
"Zelkova serrata"
"Zeuzera coffeae"
"Zeuzera pyrina"
"Ziziphus mauritiana"
